quantile,value,type,location,target,forecast_date,target_end_date
0.010,7267,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.025,7733,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.050,8256,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.100,8711,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.150,8970,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.200,9374,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.250,9628,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.300,9797,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.350,10003,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.400,10195,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.450,10375,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.500,10632,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
,10632,point,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.550,10848,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.600,11117,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.650,11360,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.700,11641,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.750,11898,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.800,12165,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.850,12514,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.900,12961,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.950,13564,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.975,14032,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.990,14885,quantile,US,1 wk ahead inc death,2020-05-03,2020-05-09
0.010,5807,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.025,6222,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.050,6500,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.100,6994,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.150,7400,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.200,7670,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.250,7923,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.300,8148,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.350,8337,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.400,8594,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.450,8815,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.500,9036,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
,9036,point,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.550,9266,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.600,9491,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.650,9736,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.700,10004,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.750,10274,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.800,10566,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.850,10884,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.900,11318,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.950,12097,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.975,12807,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.990,13904,quantile,US,2 wk ahead inc death,2020-05-03,2020-05-16
0.010,4371,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.025,4908,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.050,5250,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.100,5632,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.150,5957,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.200,6291,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.250,6502,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.300,6705,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.350,6926,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.400,7092,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.450,7330,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.500,7522,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
,7522,point,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.550,7780,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.600,8013,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.650,8228,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.700,8472,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.750,8776,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.800,9042,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.850,9557,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.900,9954,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.950,10578,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.975,11336,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.990,12711,quantile,US,3 wk ahead inc death,2020-05-03,2020-05-23
0.010,3168,quantile,US,4 wk ahead inc death,2020-05-03,2020-05-30
0.025,3628,quantile,US,4 wk ahead inc death,2020-05-03,2020-05-30
0.050,3943,quantile,US,4 wk ahead inc death,2020-05-03,2020-05-30
0.100,4376,quantile,US,4 wk ahead inc death,2020-05-03,2020-05-30
0.150,4819,quantile,US,4 wk ahead inc death,2020-05-03,2020-05-30
