quantile,value,type,location,target,forecast_date,target_end_date
0.010,12463,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.025,13815,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.050,14898,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.100,16325,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.150,17754,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.200,18739,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.250,19551,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.300,20441,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.350,21044,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.400,21837,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.450,22485,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.500,23172,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
,23172,point,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.550,23921,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.600,24620,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.650,25327,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.700,25994,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.750,26785,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.800,27812,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.850,29080,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.900,30617,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.950,33327,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.975,35485,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.990,38482,quantile,US,1 wk ahead inc death,2020-07-26,2020-08-01
0.010,11558,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.025,12742,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.050,14244,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.100,15664,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.150,16905,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.200,17847,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.250,18682,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.300,19654,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.350,20557,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.400,21414,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.450,22111,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.500,23004,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
,23004,point,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.550,23705,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.600,24432,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.650,25329,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.700,26284,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.750,27159,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.800,28400,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.850,29772,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.900,31537,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.950,33805,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.975,36906,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.990,39794,quantile,US,2 wk ahead inc death,2020-07-26,2020-08-08
0.010,10550,quantile,US,3 wk ahead inc death,2020-07-26,2020-08-15
