quantile,value,type,location,target,forecast_date,target_end_date
0.010,2947,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.025,3105,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.050,3255,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.100,3434,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.150,3610,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.200,3728,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.250,3836,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.300,3933,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.350,4043,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.400,4135,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.450,4214,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.500,4313,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
,4313,point,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.550,4414,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.600,4521,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.650,4634,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.700,4756,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.750,4912,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.800,5085,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.850,5353,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.900,5689,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.950,6257,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.975,6673,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.990,7917,quantile,US,1 wk ahead inc death,2020-10-04,2020-10-10
0.010,2350,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.025,2595,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.050,2772,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.100,2978,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.150,3091,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.200,3214,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.250,3306,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.300,3380,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.350,3507,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.400,3598,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.450,3694,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.500,3814,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
,3814,point,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.550,3937,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.600,4052,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.650,4194,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.700,4321,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
0.750,4511,quantile,US,2 wk ahead inc death,2020-10-04,2020-10-17
